Date,Open,High,Low,Close,Volume,Change
2019-07-29,5300,5310,5070,5070,326973,-0.041587901701323204
2019-07-30,5010,5160,5010,5100,136398,0.00591715976331364
2019-07-31,5100,5130,4980,5060,235989,-0.007843137254901933
2019-08-01,5040,5110,5010,5060,189082,0.0
2019-08-02,4990,5030,4915,4915,386071,-0.028656126482213384
2019-08-05,4875,4925,4500,4500,676836,-0.08443540183112919
2019-08-06,4250,4610,4250,4370,618695,-0.028888888888888853
2019-08-07,4380,4560,4380,4560,320060,0.04347826086956519
2019-08-08,4575,4690,4550,4660,273926,0.021929824561403466
2019-08-09,4665,4750,4660,4690,257661,0.006437768240343367
2019-08-12,4705,4735,4615,4710,149370,0.004264392324093924
2019-08-13,4620,4690,4570,4570,294558,-0.02972399150743099
2019-08-14,4660,4690,4610,4650,222207,0.017505470459518557
2019-08-16,4585,4610,4540,4570,168264,-0.017204301075268824
2019-08-19,4615,4785,4595,4780,292630,0.045951859956236296
2019-08-20,4780,4870,4735,4855,249748,0.01569037656903771
2019-08-21,4855,4970,4805,4960,235295,0.02162718846549949
2019-08-22,4960,5000,4870,4905,200798,-0.011088709677419373
2019-08-23,4860,4950,4830,4900,138407,-0.0010193679918450993
2019-08-26,4770,4805,4665,4665,300983,-0.04795918367346941
2019-08-27,4745,5530,4715,4865,3128002,0.04287245444801724
2019-08-28,4795,4915,4780,4860,461281,-0.0010277492291880241
2019-08-29,4920,4920,4755,4790,346037,-0.014403292181069949
2019-08-30,4830,4990,4830,4985,335504,0.040709812108559396
2019-09-02,4970,5050,4900,5040,218472,0.011033099297893756
2019-09-03,5010,5070,4985,5020,161187,-0.003968253968253954
2019-09-04,5020,5080,4975,5080,159977,0.01195219123505975
2019-09-05,5100,5140,5030,5060,193017,-0.003937007874015741
2019-09-06,5060,5100,5010,5010,99523,-0.00988142292490124
2019-09-09,4990,5040,4930,4955,148836,-0.010978043912175606
2019-09-10,4950,5050,4950,5000,172378,0.00908173562058523
2019-09-11,5020,5080,4990,5000,225144,0.0
2019-09-16,5080,5170,5030,5160,251421,0.03200000000000003
2019-09-17,5160,5250,5120,5190,226607,0.005813953488372103
2019-09-18,5180,5230,5130,5200,154624,0.0019267822736031004
2019-09-19,5200,5290,5160,5240,150796,0.007692307692307665
2019-09-20,5180,5240,5110,5110,252657,-0.024809160305343525
2019-09-23,5120,5250,5050,5220,190080,0.021526418786692814
2019-09-24,5160,5270,5160,5230,176469,0.0019157088122605526
2019-09-25,5220,5220,5040,5050,234741,-0.03441682600382412
2019-09-26,5110,5160,4950,5040,267775,-0.001980198019801982
2019-09-27,5040,5100,5000,5100,169016,0.011904761904761862
2019-09-30,5120,5150,5010,5050,119779,-0.009803921568627416
2019-10-01,5070,5150,5030,5150,144527,0.01980198019801982
2019-10-02,5050,5090,4985,4985,213727,-0.03203883495145632
2019-10-04,4970,4980,4875,4940,203646,-0.009027081243731194
2019-10-07,5000,5000,4820,4875,206906,-0.013157894736842146
2019-10-08,4845,4945,4810,4940,209425,0.01333333333333342
2019-10-10,4915,5080,4905,5040,229680,0.020242914979757165
2019-10-11,5060,5070,4935,4965,144257,-0.014880952380952328
2019-10-14,4965,5030,4955,5010,132760,0.009063444108761365
2019-10-15,5010,5070,4965,5070,149797,0.011976047904191711
2019-10-16,5080,5120,5050,5090,134987,0.0039447731755424265
2019-10-17,5040,5100,5010,5080,138890,-0.0019646365422396617
2019-10-18,5100,5100,5030,5040,147047,-0.007874015748031482
